Date,Time,Location,Longtitude ,Latitude,Incident Type,Casualty
6/22/2020,20:42,2700 block of Calvert Street ,-76.614689,39.320945,armed carjacking,
6/21/2020,19:00,3107 St. Paul Street ,-76.615517,39.326281,unarmed robbery,
4/10/2020,13:41,3000 Block of Abell Avenue,-76.612154,39.324963,armed robbery,
4/6/2020,5:45,N. Charles Street and University Parkway,-76.61805,39.332705,armed robbery,
3/10/2020,20:20,3000 Block of Lovegrove Street,-76.616576,39.324595,armed carjacking,
2/25/2020,21:35,2700 Guilford Ave ,-76.613304,39.320965,unarmed robbery,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
